city,gdp,population,govermancepop,bussinesspop,nojobpop,first,second,third,ratio1,ratio2,ratio3
常州市,15694600,354.67,36.5,888315,32567,0.17,19,17.33,3.79,60.37,35.85
苏州市,48202600,616.08,114.09,1084662,54793,0.79,81.54,31.76,1.95,65.39,32.66
南通市,17583400,769.79,57.21,435857,33575,1.78,31.05,24.38,9.56,56.02,34.42
连云港市,5273800,479.42,30.41,187982,18413,1.87,11.32,17.22,18.25,45.8,35.95
淮安市,6510600,532.76,32.48,314471,25070,2.05,13.2,17.23,19.01,46.88,34.11
盐城市,11742600,804.73,48.83,416050,29182,3.79,20.75,24.29,20.92,45.66,33.42
扬州市,11001600,458.64,35.4,411446,24632,0.21,18.43,16.76,8.59,56.41,35
镇江市,10215200,268.79,32.71,238059,15823,0.44,16.59,15.68,4.07,60.56,35.37
泰州市,10022800,503.6,32.75,335205,21235,0.44,14.92,17.39,9.48,58.42,32.1
宿迁市,4542000,529.47,18.45,265750,13786,0.47,5.7,12.28,23.58,44.84,31.58
杭州市,34415068,666.31,129.32,980363,63042,0.16,64.11,65.05,4.5,50.4,45.1
宁波市,28744435,560.45,95.42,829288,44957,0.15,60,35.27,4.85,55.09,40.06
温州市,18375038,756.48,95.01,602777,31545,0.13,63.74,31.14,3.57,54.77,41.66
嘉兴市,13466481,335.55,68.72,321357,26512,0.15,50.58,17.99,6.55,59.94,33.51
湖州市,7610154,257.89,26.76,258334,12344,0.03,16.1,10.63,8.62,57.18,34.2
绍兴市,16776266,435.5,63.18,305181,27141,0.05,45.14,17.99,5.8,60.55,33.65
金华市,12346957,456.8,47.04,789880,24568,0.13,25,21.91,5.48,53.94,40.58
衢州市,3874000,246.68,13.72,126338,9909,0.08,5.53,8.11,13.2,49.3,37.49
舟山市,3351979,96.58,10.63,64805,7353,0.02,3.73,6.88,12.5,41.62,45.89
台州市,14633068,564.66,42.87,328674,21631,0.46,20.69,21.72,7.24,53.46,39.3
丽水市,3553709,252.53,14.17,141785,7002,0.32,3.86,9.99,12.63,46.06,41.31
合肥市,10737600,469.85,45.52,266017,47156,0.2,19.18,26.14,5.75,47.54,46.71
芜湖市,4797190,229.03,22,152560,20358,0.08,12.67,9.25,6.32,56.36,37.31
蚌埠市,3590200,352.47,17.76,153132,23539,0.54,5.96,11.26,20.98,39.32,39.7
淮南市,3049800,237.9,27.7,144346,20365,0.43,17.94,9.33,10.8,54.34,34.86
马鞍山市,4289000,126.57,15.03,63175,8507,0.05,9.64,5.34,4.39,64.19,31.42
淮北市,2247200,212.2,21.29,125515,16232,0.02,13.43,7.84,11.39,53.5,35.11
铜陵市,2436300,73.11,11.14,78886,10640,0.31,6.89,3.94,2.9,66.96,30.14
安庆市,4942100,607.89,23.77,555864,27667,1.15,5.21,17.41,19.1,42.27,38.63
黄山市,1874889,147.56,8.66,85458,6771,0.14,2.07,6.45,14.94,38.02,47.04
滁州市,3722901,439.99,19.51,127000,19277,1.09,6.58,11.84,26.33,38.65,35.02
阜阳市,3783600,954.61,27.33,389609,11286,0.55,7.74,19.04,31.7,30.95,37.35
宿州市,3590100,609.94,24.56,77541,13115,0.99,9.11,14.46,38.15,26.72,35.13
巢湖市,3444000,452.62,17.4,95346,19139,0.72,6.14,10.54,23.2,39.34,37.46
六安市,3563500,686.73,21.78,378208,39000,0.95,6.65,14.18,26.15,33.82,40.03
亳州市,2987300,561.65,14.67,92785,5961,0.09,3.73,10.85,32.47,27.34,40.19
池州市,1300900,157.09,6.74,70147,7744,0.14,1.9,4.7,21.93,38.07,40
宣城市,2878800,274.21,12.31,143900,9657,0.69,4.11,7.51,19.63,39.35,41.02
福州市,16640515,622.73,87.19,560717,35955,0.77,50.05,36.37,11.2,46.06,42.73
厦门市,11680229,160.38,77.46,363687,23000,0.27,55.54,21.65,1.59,53.87,44.53
莆田市,4236808,306.97,28.28,97013,7066,0.09,19.19,9,13.43,55.26,31.32
三明市,4535752,268.64,21.51,151383,16643,0.58,9.25,11.68,23.67,40.55,35.78
泉州市,19007599,670.4,110.85,349648,8872,0.43,88.27,22.15,5.13,58.64,36.23
漳州市,7169115,459.14,37.35,193453,13889,2.82,20.51,14.02,23.17,42.4,34.13
南平市,3931859,305.27,23.32,121732,20335,1.21,9.59,12.52,25.81,35.33,38.86
龙岩市,4500075,287.52,22.91,106805,12155,0.51,10.26,12.14,19.34,47.61,33.05
宁德市,3839988,328.1,15.36,101426,11012,0.26,3.97,11.13,23.01,36.26,40.73
南昌市,11838973,483.96,59.21,513163,37377,2.04,24.42,32.75,6.53,54.27,39.21
景德镇市,2247759,153.62,15.81,105700,10750,1.08,8.16,6.57,9.27,54.09,36.64
萍乡市,2654942,181.97,13.01,241043,14838,0.26,6.01,6.74,9.88,59.64,30.47
九江市,5062201,472.67,36.4,261685,27721,1.57,15.86,18.97,15.44,51.93,32.63
新余市,2142709,112.41,64.8,45300,15994,21.56,22.68,20.56,10.82,58.87,30.32
鹰潭市,1432082,112.95,8.99,70720,9253,1.33,3.61,4.05,12.78,52.95,34.27
赣州市,5827320,861.15,38.43,568233,27029,0.98,14.83,22.62,23.27,38.88,37.85
吉安市,3517803,471.01,21.68,285763,22240,1.68,5.6,14.4,24.44,39.63,35.93
宜春市,4397203,534.66,25.71,318183,21432,0.86,9.71,15.14,23.1,46.58,30.33
抚州市,3135607,383.78,20.28,225676,19038,1.26,6.62,12.4,23.82,44.3,31.88
上饶市,4514277,690.52,30.54,497695,33086,3.61,8.76,18.17,19.43,44.46,36.11
济南市,21850856,603.35,101.26,888168,58007,0.11,49.38,51.77,6.64,45.85,47.51
青岛市,32065800,749.38,129.47,939686,59716,0.58,84.68,44.21,5.74,52.3,41.96
淄博市,16451600,418.13,57.1,255251,24824,0.36,38.67,18.07,3.81,65.59,30.6
枣庄市,7599500,371.97,35.41,214978,18384,0.34,19.72,15.35,9.01,63.53,27.46
东营市,14503100,181.82,34.82,142124,9458,0.43,21.86,12.53,3.67,80.68,15.65
烟台市,24057504,649.98,84.72,509064,40741,0.63,52.23,31.86,8.98,60.78,30.24
潍坊市,17208800,855.29,69.61,377865,38000,0.5,38.83,30.28,12.31,58.15,29.55
济宁市,14560939,811.83,61.46,290294,32258,0.19,31.6,29.67,12.85,55.18,31.98
泰安市,10181800,551.7,49.39,171232,26844,0.3,30.77,18.32,11.42,56.2,32.38
威海市,13685270,249.83,38.57,225609,7293,0.25,25.01,13.31,8.52,62.08,29.4
日照市,5058700,282.4,17.98,94522,12580,0.11,8.26,9.61,14.61,49.73,35.67
莱芜市,2919800,124.86,14.42,107706,7433,0.01,9.6,4.81,6.7,65.89,27.41
临沂市,14048600,1022.73,55.67,417251,28630,0.74,23.15,31.78,12.72,52.02,35.26
德州市,10033800,557.85,36.67,369269,20048,0.38,16.7,19.59,14.03,55.76,30.21
聊城市,8413300,572.82,34.5,104877,23018,0.12,14.2,20.18,16.5,58.47,25.02
滨州市,8336700,373.16,34.87,74302,11757,0.09,22.65,12.13,11.66,61.75,26.59
菏泽市,5396000,905.2,34.44,185983,17931,0.48,8.53,25.43,30.85,45.91,23.25
郑州市,20134777,691.62,95.44,814900,56273,0.33,44.38,50.73,3.83,53.19,42.99
